          0.001              0-7.0232709e-013   -0.089813536   -0.089813536    -0.17487334    -0.17487334    -0.19948546    -0.19948546
          0.026   0.0017409522   0.0017409522   -0.090910297   -0.090910297    -0.17414093    -0.17414093    -0.20059749    -0.20059749
          0.051   0.0064549982   0.0064549981   -0.093781906   -0.093781906    -0.17236809    -0.17236809    -0.20345497    -0.20345497
          0.076    0.013581655    0.013581655   -0.097852811   -0.097852811    -0.17011252    -0.17011252    -0.20750577    -0.20750577
          0.101    0.022526893    0.022526893    -0.10250486    -0.10250486    -0.16780321    -0.16780321    -0.21232921    -0.21232921
          0.126    0.032809823    0.032809823    -0.10722539    -0.10722539    -0.16571592    -0.16571593    -0.21765907    -0.21765907
          0.151    0.044082506    0.044082506    -0.11163088    -0.11163088    -0.16403968    -0.16403968    -0.22331335    -0.22331335
          0.176    0.056101706    0.056101706    -0.11544876    -0.11544876    -0.16291599    -0.16291599    -0.22914558    -0.22914558
          0.201    0.068696791    0.068696791    -0.11850592    -0.11850592    -0.16244253    -0.16244253    -0.23502185    -0.23502185
          0.226    0.081745651    0.081745651    -0.12073386    -0.12073386    -0.16265441    -0.16265441    -0.24081327    -0.24081327
          0.251    0.095158634    0.095158634    -0.12217312    -0.12217312    -0.16350689    -0.16350689    -0.24639739    -0.24639739
          0.276     0.10886819     0.10886819     -0.1229534     -0.1229534    -0.16488514    -0.16488514     -0.2516649     -0.2516649
          0.301     0.12282216     0.12282216    -0.12324867    -0.12324867    -0.16664148    -0.16664148    -0.25652885    -0.25652885
          0.326     0.13697941     0.13697941    -0.12323187    -0.12323187    -0.16863515    -0.16863515    -0.26093342    -0.26093342
          0.351     0.15130687     0.15130687    -0.12304894    -0.12304894    -0.17075468    -0.17075468    -0.26485879    -0.26485879
          0.376     0.16577753     0.16577753    -0.12281217    -0.12281217    -0.17292213    -0.17292213    -0.26831984    -0.26831984
          0.401     0.18036898     0.18036898    -0.12260377    -0.12260377    -0.17508812    -0.17508812    -0.27135876    -0.27135876
          0.426     0.19506244     0.19506244    -0.12248264    -0.12248264     -0.1772244     -0.1772244    -0.27403444    -0.27403444
          0.451       0.209842       0.209842     -0.1224905     -0.1224905    -0.17931732    -0.17931732    -0.27641198    -0.27641198
          0.476     0.22469401     0.22469401    -0.12265683    -0.12265683    -0.18136293    -0.18136293    -0.27855488    -0.27855488
          0.501     0.23960674     0.23960674    -0.12300238    -0.12300238    -0.18336353    -0.18336353    -0.28052047    -0.28052047
          0.526     0.25456997     0.25456997    -0.12354163    -0.12354163    -0.18532537    -0.18532537    -0.28235802    -0.28235802
          0.551     0.26957478     0.26957478    -0.12428452    -0.12428452    -0.18725713    -0.18725713    -0.28410853    -0.28410853
          0.576     0.28461334     0.28461334    -0.12523772    -0.12523772     -0.1891689     -0.1891689     -0.2858055     -0.2858055
          0.601     0.29967873     0.29967873    -0.12640544    -0.12640544    -0.19107149    -0.19107149    -0.28747599    -0.28747599
          0.626     0.31476482     0.31476482    -0.12779006    -0.12779006    -0.19297603    -0.19297603    -0.28914171    -0.28914171
          0.651     0.32986615     0.32986615    -0.12939264    -0.12939264    -0.19489361    -0.19489361    -0.29082008    -0.29082008
          0.676     0.34497787     0.34497787    -0.13121318    -0.13121318    -0.19683513    -0.19683513    -0.29252506    -0.29252506
          0.701     0.36009561     0.36009561    -0.13325095    -0.13325095    -0.19881113    -0.19881113    -0.29426789    -0.29426789
          0.726     0.37521547     0.37521547    -0.13550463    -0.13550463    -0.20083175    -0.20083175    -0.29605763    -0.29605763
          0.751     0.39033394     0.39033394    -0.13797248    -0.13797248    -0.20290661    -0.20290661    -0.29790166    -0.29790166
          0.776     0.40544787     0.40544787    -0.14065245    -0.14065245    -0.20504484    -0.20504484      -0.299806      -0.299806
          0.801     0.42055439     0.42055439    -0.14354229    -0.14354229    -0.20725503    -0.20725503    -0.30177567    -0.30177567
          0.826     0.43565094     0.43565094    -0.14663957    -0.14663957    -0.20954521    -0.20954521    -0.30381483    -0.30381483
          0.851     0.45073521     0.45073521     -0.1499418     -0.1499418    -0.21192289    -0.21192289    -0.30592705    -0.30592705
          0.876     0.46580509     0.46580509     -0.1534464     -0.1534464    -0.21439505    -0.21439505    -0.30811538    -0.30811538
          0.901     0.48085869     0.48085869    -0.15715079    -0.15715079    -0.21696815    -0.21696815    -0.31038254    -0.31038254
          0.926      0.4958943      0.4958943     -0.1610524     -0.1610524    -0.21964817    -0.21964817    -0.31273096    -0.31273096
          0.951     0.51091037     0.51091037    -0.16514866    -0.16514866    -0.22244059    -0.22244059    -0.31516285    -0.31516285
          0.976      0.5259055      0.5259055    -0.16943705    -0.16943705    -0.22535044    -0.22535044    -0.31768032    -0.31768032
          1.001     0.54087844     0.54087844    -0.17391507    -0.17391507    -0.22838233    -0.22838233    -0.32028535    -0.32028535
