          0.001              0-3.5860204e-013   -0.089071963   -0.089071963     -0.1394209     -0.1394209    -0.17061003    -0.17061003
          0.026   0.0019048292   0.0019048292   -0.090198955   -0.090198955    -0.13891325    -0.13891325    -0.17157083    -0.17157083
          0.051   0.0070372318   0.0070372318   -0.093095995   -0.093095995    -0.13765102    -0.13765102    -0.17413032    -0.17413032
          0.076    0.014740333    0.014740333   -0.097055326   -0.097055327    -0.13602693    -0.13602693    -0.17790939    -0.17790939
          0.101    0.024338733    0.024338733    -0.10131157    -0.10131157    -0.13444918    -0.13444918    -0.18252096    -0.18252096
          0.126    0.035302371    0.035302371    -0.10520002    -0.10520002    -0.13329194    -0.13329194    -0.18761328    -0.18761328
          0.151    0.047257698    0.047257698    -0.10819434    -0.10819434    -0.13289228    -0.13289228    -0.19283192    -0.19283192
          0.176    0.059949005    0.059949004    -0.10999372    -0.10999372    -0.13345324    -0.13345324    -0.19778992    -0.19778992
          0.201    0.073199946    0.073199946    -0.11065494    -0.11065494    -0.13488805    -0.13488805    -0.20210889    -0.20210889
          0.226    0.086886172    0.086886172    -0.11051852    -0.11051852    -0.13687032    -0.13687032    -0.20555395    -0.20555395
          0.251     0.10091761     0.10091761    -0.10995808    -0.10995808    -0.13906576    -0.13906576    -0.20814144    -0.20814144
          0.276     0.11522723     0.11522723    -0.10924307    -0.10924307    -0.14125627    -0.14125627    -0.21006836    -0.21006836
          0.301     0.12976393     0.12976393    -0.10853921    -0.10853921     -0.1433312     -0.1433312    -0.21156037    -0.21156037
          0.326     0.14448783     0.14448783     -0.1079443     -0.1079443    -0.14524697    -0.14524697    -0.21279218    -0.21279218
          0.351     0.15936722     0.15936722    -0.10751621    -0.10751621    -0.14699683    -0.14699683    -0.21388007    -0.21388007
          0.376     0.17437641     0.17437641    -0.10728952    -0.10728952    -0.14859318    -0.14859318     -0.2148975     -0.2148975
          0.401     0.18949431     0.18949431    -0.10728481    -0.10728481    -0.15005801    -0.15005801    -0.21589034    -0.21589034
          0.426     0.20470334     0.20470334    -0.10751399    -0.10751399     -0.1514176     -0.1514176    -0.21688728    -0.21688728
          0.451     0.21998866     0.21998866    -0.10798338    -0.10798338    -0.15269964    -0.15269964    -0.21790646    -0.21790646
          0.476     0.23533767     0.23533767    -0.10869559    -0.10869559    -0.15393153    -0.15393153    -0.21895946    -0.21895946
          0.501      0.2507395      0.2507395    -0.10965077    -0.10965077    -0.15513948    -0.15513948    -0.22005389    -0.22005389
          0.526     0.26618476     0.26618476    -0.11084738    -0.11084738    -0.15634795    -0.15634795    -0.22119495    -0.22119495
          0.551     0.28166522     0.28166522    -0.11228274    -0.11228274    -0.15757944    -0.15757944    -0.22238647    -0.22238647
          0.576     0.29717369     0.29717369    -0.11395343    -0.11395343    -0.15885437    -0.15885437    -0.22363157    -0.22363157
          0.601     0.31270378     0.31270378    -0.11585556    -0.11585556     -0.1601911     -0.1601911    -0.22493307    -0.22493307
          0.626     0.32824983     0.32824983    -0.11798497    -0.11798497      -0.161606      -0.161606    -0.22629374    -0.22629374
          0.651      0.3438068      0.3438068    -0.12033737    -0.12033737    -0.16311357    -0.16311357    -0.22771644    -0.22771644
          0.676     0.35937018     0.35937018    -0.12290843    -0.12290843    -0.16472659    -0.16472659    -0.22920421    -0.22920421
          0.701      0.3749359      0.3749359    -0.12569389    -0.12569389    -0.16645627    -0.16645627    -0.23076028    -0.23076028
          0.726     0.39050031     0.39050031    -0.12868956    -0.12868956    -0.16831235    -0.16831235    -0.23238811    -0.23238811
          0.751     0.40606011     0.40606011    -0.13189141    -0.13189141    -0.17030331    -0.17030331    -0.23409132    -0.23409132
          0.776      0.4216123      0.4216123    -0.13529556    -0.13529556    -0.17243646    -0.17243646    -0.23587372    -0.23587372
          0.801     0.43715419     0.43715419    -0.13889828    -0.13889828    -0.17471805    -0.17471805    -0.23773922    -0.23773922
          0.826      0.4526833      0.4526833    -0.14269603    -0.14269603    -0.17715345    -0.17715345    -0.23969185    -0.23969185
          0.851     0.46819742     0.46819742    -0.14668545    -0.14668545    -0.17974718    -0.17974718    -0.24173567    -0.24173567
          0.876      0.4836945      0.4836945    -0.15086333    -0.15086333    -0.18250304    -0.18250304     -0.2438748     -0.2438748
          0.901     0.49917269     0.49917269    -0.15522666    -0.15522666    -0.18542419    -0.18542419    -0.24611333    -0.24611333
          0.926      0.5146303      0.5146303    -0.15977253    -0.15977253    -0.18851323    -0.18851323    -0.24845534    -0.24845534
          0.951     0.53006582     0.53006582    -0.16449821    -0.16449821    -0.19177223    -0.19177223    -0.25090484    -0.25090484
          0.976     0.54547783     0.54547783    -0.16940111    -0.16940111    -0.19520284    -0.19520284    -0.25346578    -0.25346578
          1.001     0.56086507     0.56086507    -0.17447871    -0.17447871    -0.19880631    -0.19880631    -0.25614203    -0.25614203
